Gene	Median_Genetic_load
Zm00001d027461	3.50348
Zm00001d027462	0.4176
Zm00001d027463	1.6888
Zm00001d027464	5.7438
Zm00001d027465	0.1562
ENSRNA049437518	0.1562
Zm00001d027467	5.24634
Zm00001d027466	0.32834
Zm00001d027468	0.84196
Zm00001d027469	0
Zm00001d027471	0.2306
Zm00001d027470	0.0946
Zm00001d027474	0
Zm00001d027472	0.276
Zm00001d027475	0.276
Zm00001d027476	0.31
Zm00001d027477	2.583
Zm00001d027478	4.1199
Zm00001d027479	0.6226
Zm00001d022662	0
Zm00001d027480	1.4916
Zm00001d027481	0.3742
Zm00001d027483	4.6272
Zm00001d027484	0
Zm00001d027485	0
Zm00001d027486	0.8829
Zm00001d027487	0
Zm00001d027488	0.358
zma-MIR528a	2.7768
Zm00001d027489	0.866
Zm00001d027490	0
Zm00001d027492	1.03264
Zm00001d027493	4.0532
Zm00001d027494	4.1256
Zm00001d027495	0.7018
Zm00001d027496	0
Zm00001d027497	0.3576
Zm00001d027498	0
Zm00001d027499	0
Zm00001d027500	0.224
Zm00001d027502	4.52034
Zm00001d027501	3.29942
Zm00001d027503	0
Zm00001d027504	6.24466
Zm00001d027505	0
Zm00001d027506	0.4672
Zm00001d022663	4.1582
ENSRNA049465015	0.0396
ENSRNA049464994	0.78488
Zm00001d027508	1.4334
Zm00001d027509	0.6412
Zm00001d027510	0.06
Zm00001d027511	3.8292
Zm00001d027512	0.1096
Zm00001d027513	0.1096
Zm00001d027514	0.3622
Zm00001d027515	1.11344
Zm00001d027516	0
Zm00001d027517	1.886
Zm00001d027518	0.242
Zm00001d027519	0
Zm00001d027520	1.9956
Zm00001d027522	1.9956
Zm00001d027523	0.575
Zm00001d027524	5.9076
Zm00001d027525	3.862
Zm00001d027527	0
Zm00001d027528	4.3312
Zm00001d027530	0.156
Zm00001d027531	0.43044
Zm00001d027532	1.54144
Zm00001d027533	7.90942
Zm00001d027534	0.4872
Zm00001d027535	0
Zm00001d027536	0.1886
Zm00001d027537	0.234
Zm00001d027538	1.1212
Zm00001d027539	0
Zm00001d027540	2.3374
Zm00001d027541	2.69004
Zm00001d027542	0
Zm00001d027543	0
ENSRNA049437544	0
zma-MIR171e	0.6654
ENSRNA049464922	0.6654
Zm00001d022664	0.6654
Zm00001d027544	0.63614
Zm00001d027545	0
Zm00001d027546	0.9746
Zm00001d027548	1.6016
Zm00001d027550	3.4178
Zm00001d027549	1.6318
Zm00001d027551	0.1874
Zm00001d027554	0.5932
Zm00001d027555	1.7082
Zm00001d027556	3.17396
Zm00001d027557	0
Zm00001d027558	0.80996
Zm00001d027559	0
Zm00001d022665	0
Zm00001d022666	0
Zm00001d027560	0.0571
Zm00001d027561	0.0571
Zm00001d027562	0.0571
Zm00001d027563	0
Zm00001d027564	0
Zm00001d027565	1.3887
Zm00001d027566	1.0681
Zm00001d027567	0.0926
Zm00001d027568	0.5506
Zm00001d027569	0.1936
Zm00001d027570	0
Zm00001d027571	0.62456
Zm00001d027572	0
Zm00001d027573	0
Zm00001d027576	0
Zm00001d027577	0
Zm00001d027578	1.9418
Zm00001d027580	1.409
Zm00001d027581	6.2068
Zm00001d027582	0
Zm00001d027583	0.954
Zm00001d027585	0.1444
Zm00001d027587	4.08612
Zm00001d027588	0
Zm00001d027589	0.642
Zm00001d027590	2.086
Zm00001d027591	0
Zm00001d027592	2.5266
Zm00001d027593	0
Zm00001d027595	0
Zm00001d027597	3.0419
Zm00001d027596	3.2197
Zm00001d027598	2.2156
Zm00001d027599	1.8474
Zm00001d027601	0.31
Zm00001d027603	0.8028
Zm00001d027604	0
Zm00001d027605	0
Zm00001d027606	0.163
Zm00001d027607	0.0624
Zm00001d027608	0
Zm00001d027609	0.9564
Zm00001d027611	3.0956
Zm00001d027610	2.7652
Zm00001d027612	0.582
Zm00001d027613	0.341
Zm00001d027615	0
Zm00001d027616	0
Zm00001d027618	4.0646
Zm00001d027619	2.98636
Zm00001d027620	0
Zm00001d027621	0.3644
Zm00001d027622	0
Zm00001d027623	1.7498
Zm00001d027624	0.1246
Zm00001d027625	1.31234
Zm00001d022667	0.70034
Zm00001d022668	0
Zm00001d027626	0
Zm00001d027627	1.2394
Zm00001d027628	10.17094
Zm00001d027630	4.51792
Zm00001d027631	1.102
Zm00001d027633	1.306
Zm00001d027634	0.9852
Zm00001d027636	1.408
Zm00001d027637	0
Zm00001d027638	0
Zm00001d027640	0.224
Zm00001d027639	0.224
Zm00001d027641	0
Zm00001d027642	0
Zm00001d027643	0
Zm00001d027645	3.9774
Zm00001d027646	3.4922
Zm00001d027647	0.9358
Zm00001d027648	0
Zm00001d027649	0.4174
Zm00001d027650	0
ENSRNA049437607	0
Zm00001d027651	0
Zm00001d027652	0
Zm00001d027655	0.0914
Zm00001d027656	1.99586
Zm00001d027657	5.7168
Zm00001d027658	2.4864
Zm00001d027659	0
Zm00001d027662	0
Zm00001d027665	0
Zm00001d022669	0.3178
Zm00001d027666	1.1038
ENSRNA049437614	1.1038
Zm00001d027668	0.92474
Zm00001d027667	1.6618
Zm00001d022670	1.4596
Zm00001d027669	1.4596
Zm00001d022671	1.266
Zm00001d027672	0
Zm00001d027671	0.34
Zm00001d027673	3.96756
Zm00001d027674	3.3778
Zm00001d027675	0
Zm00001d027676	1.2008
Zm00001d027677	0
Zm00001d027678	1.81232
Zm00001d027679	2.6098
Zm00001d027680	0
Zm00001d027681	3.1856
Zm00001d022672	2.9202
Zm00001d027682	0.33848
Zm00001d027683	0
Zm00001d027684	0.1422
Zm00001d027685	1.21376
Zm00001d027686	1.5746
Zm00001d027687	1.8086
Zm00001d027690	3.6326
Zm00001d027688	3.35388
Zm00001d027691	0
Zm00001d027694	0
Zm00001d027696	2.7026
Zm00001d027695	0.8648
Zm00001d027697	0
Zm00001d027698	0.2055
Zm00001d027699	0
Zm00001d022673	3.0328
Zm00001d027700	0.4318
Zm00001d027701	0.1214
Zm00001d027702	0
Zm00001d027703	0
Zm00001d027705	0
Zm00001d027706	0
Zm00001d027707	0
Zm00001d027709	3.1968
Zm00001d027708	3.1508
Zm00001d027710	0.066
Zm00001d027711	0
Zm00001d027713	0.192
Zm00001d027714	0
Zm00001d027715	0
Zm00001d027717	0.63948
Zm00001d027718	14.75198
Zm00001d027719	0.2424
Zm00001d027720	3.4826
Zm00001d027721	0.3004
Zm00001d027722	0
Zm00001d027723	0.136
Zm00001d027725	0.8098
Zm00001d027726	0.83774
Zm00001d027727	0.3702
Zm00001d027728	4.726
Zm00001d027729	1.0822
Zm00001d027730	0
ENSRNA049440072	0
Zm00001d027731	0.6754
Zm00001d027733	1.088
Zm00001d027734	2.9302
Zm00001d027732	2.70064
Zm00001d027735	0
Zm00001d027736	1.0024
Zm00001d027737	1.0024
Zm00001d027738	0.28078
Zm00001d027739	0.224
Zm00001d027741	1.6
Zm00001d027740	6.47171
Zm00001d027742	0.6596
Zm00001d027743	1.2692
Zm00001d027744	5.62082
Zm00001d027745	0.902
Zm00001d027746	0.476
Zm00001d027747	3.01162
Zm00001d027748	3.7982
Zm00001d027749	0.11754
Zm00001d027751	1.8938
Zm00001d027752	1.043
Zm00001d027753	0.00692
Zm00001d027754	0
Zm00001d027755	1.6594
Zm00001d027756	0.57556
Zm00001d027757	4.7632
Zm00001d022674	0.0908
Zm00001d027758	0.0908
ENSRNA049471974	0.2586
ENSRNA049471983	0.2586
ENSRNA049471967	0
zma-MIR167j	0
Zm00001d027759	2.7876
Zm00001d027760	0.195
Zm00001d027761	0.6292
Zm00001d027762	0.1462
Zm00001d027763	1.0628
Zm00001d027764	0.065
Zm00001d027766	0.0328
Zm00001d027767	2.20638
Zm00001d027768	2.97558
Zm00001d027769	1.9022
Zm00001d027771	0.1882
Zm00001d027773	0.3555
Zm00001d027772	0.3555
Zm00001d027775	0
Zm00001d027784	0
Zm00001d027787	0.1936
Zm00001d027788	0
Zm00001d027789	0
Zm00001d027790	0
Zm00001d027791	0
Zm00001d027792	0
Zm00001d027795	0
Zm00001d027794	0.2158
Zm00001d027797	0.6612
Zm00001d027798	0.1736
Zm00001d027799	0
ENSRNA049471957	3.5726
Zm00001d027800	0
Zm00001d027801	1.7358
Zm00001d027802	0.7354
Zm00001d027803	0.9098
Zm00001d027804	0
Zm00001d027805	0
Zm00001d027807	0
Zm00001d027808	0.224
ENSRNA049472005	4.01446
Zm00001d027809	1.3982
Zm00001d027810	0.569
Zm00001d027811	0.0328
Zm00001d027812	3.61276
Zm00001d027813	4.25354
Zm00001d027815	0.9422
Zm00001d022675	0.5584
Zm00001d027816	0.6944
Zm00001d027819	0
Zm00001d027820	0
Zm00001d027821	0
Zm00001d022676	0.3352
Zm00001d027823	0.49726
Zm00001d027824	0.2994
Zm00001d022677	0.0278
Zm00001d027827	1.340536
Zm00001d027826	0.0552
Zm00001d027829	0.4878
Zm00001d027831	0.9682
Zm00001d027830	2.9873
Zm00001d027833	3.5669
Zm00001d027832	0.667
Zm00001d027834	0
Zm00001d027835	0
Zm00001d027837	4.5208
Zm00001d027838	0.29
Zm00001d027839	0
Zm00001d027840	1.4239
Zm00001d027841	0
Zm00001d027842	0
Zm00001d027843	0
Zm00001d027845	2.2552
Zm00001d027844	4.6014
Zm00001d027846	0.2406
Zm00001d027847	0
Zm00001d027848	0.33536
Zm00001d027849	0.2244
Zm00001d027850	0
Zm00001d022678	1.8282
Zm00001d027851	1.0688
Zm00001d022679	0.228
Zm00001d027852	0
Zm00001d027853	0.844
Zm00001d027854	0.2266
Zm00001d027855	2.5354
Zm00001d027856	2.5704
ENSRNA049471872	0
Zm00001d027857	0.26
Zm00001d027858	0
Zm00001d027859	0
Zm00001d027860	0.1548
Zm00001d027861	1.306
Zm00001d027862	0.3304
Zm00001d027863	0
Zm00001d027864	0
Zm00001d027866	0.03424
Zm00001d027868	0.248
Zm00001d027867	0.248
Zm00001d027869	0
Zm00001d027870	1.4263
Zm00001d027872	5.2662
Zm00001d027871	6.08562
Zm00001d027873	0.20356
Zm00001d027874	0.3918
Zm00001d027875	1.7896
Zm00001d027876	0.364
Zm00001d027877	0.879792
Zm00001d022680	1.472
Zm00001d027878	0.3473
Zm00001d027879	0
Zm00001d027880	0
Zm00001d027881	0
Zm00001d027882	0
Zm00001d027883	0.206
Zm00001d027884	0.19944
Zm00001d027885	0
Zm00001d027886	0
Zm00001d027887	2.1532
Zm00001d027888	0
Zm00001d027889	0.782
Zm00001d027890	0.6856
Zm00001d022681	0
Zm00001d027892	0.5346
Zm00001d022682	0
Zm00001d027893	0.1952
Zm00001d027894	1.0502
Zm00001d027895	0.9434
Zm00001d027896	0
Zm00001d027897	0
Zm00001d027898	0.5744
Zm00001d027899	3.444
Zm00001d027900	2.833
Zm00001d027901	0.3776
Zm00001d027902	2.2466
Zm00001d027903	1.2718
Zm00001d027904	0.13536
Zm00001d027907	0.7698
Zm00001d027908	0.508
Zm00001d027909	1.8029
Zm00001d027910	0.3801
Zm00001d027911	0.2492
Zm00001d027912	0.299
Zm00001d027914	0
Zm00001d027915	0.7042
Zm00001d022683	0
Zm00001d027916	0.4514
Zm00001d027918	0
Zm00001d027920	2.8622
Zm00001d027919	0.4078
Zm00001d027921	0
Zm00001d027922	0
Zm00001d027924	0.1138
Zm00001d027925	0
Zm00001d022685	0
Zm00001d027927	1.2996
Zm00001d027928	2.27242
Zm00001d027929	2.33292
Zm00001d027931	0.4156
Zm00001d027930	0
Zm00001d027932	0.728
Zm00001d027933	0.496
Zm00001d027934	1.0943
Zm00001d027935	2.0286
Zm00001d027936	1.8998
Zm00001d027937	3.27006
Zm00001d027938	1.1068
Zm00001d027939	0
Zm00001d027940	0.1936
Zm00001d027941	0.1936
ENSRNA049471996	2.6476
Zm00001d027943	0.7162
Zm00001d027944	2.2946
Zm00001d027945	2.8477
Zm00001d027946	0
Zm00001d027947	0
Zm00001d027948	0
Zm00001d027949	0.3286
Zm00001d027950	0
Zm00001d027951	0.636
Zm00001d027954	0
Zm00001d027955	0
Zm00001d027956	0
Zm00001d027958	0.5206
Zm00001d027957	0.212
Zm00001d027960	0.464
ENSRNA049437658	0.464
Zm00001d027962	0
Zm00001d027963	0.877
Zm00001d027965	0
Zm00001d027967	3.3472
Zm00001d027968	7.767
Zm00001d027966	6.84842
Zm00001d027969	0
Zm00001d027971	0.202
Zm00001d027973	0.0098
Zm00001d027974	0
Zm00001d027975	0.3462
Zm00001d027976	0.132
Zm00001d027977	0
Zm00001d027978	0
Zm00001d027979	0.2558
Zm00001d027980	0.4768
Zm00001d027981	0
Zm00001d027982	0.4926
Zm00001d022686	0.581
Zm00001d027983	0.3638
Zm00001d027984	0
Zm00001d027987	0.2688
Zm00001d027986	5.1354
Zm00001d027988	0.9298
Zm00001d027989	1.468
Zm00001d027990	1.1464
Zm00001d027991	0.1926
Zm00001d027992	0.794
Zm00001d027993	0
Zm00001d027994	0.3644
Zm00001d027995	0.00996
Zm00001d027996	0
Zm00001d027997	0
Zm00001d027998	0.13298
Zm00001d027999	0
Zm00001d028000	0.606
Zm00001d028001	0.99
ENSRNA049472011	0.827
Zm00001d028003	1.3178
Zm00001d028002	1.6034
Zm00001d028004	0.592
Zm00001d028005	8.2861
Zm00001d028006	0.01566
Zm00001d028007	1.5768
Zm00001d028008	2.2818
Zm00001d028009	0.418
Zm00001d028010	0.1114
Zm00001d028011	2.22182
Zm00001d022687	3.2938
Zm00001d028012	3.2938
Zm00001d028013	0.2618
Zm00001d028014	0
Zm00001d028015	0
Zm00001d028016	0
Zm00001d028017	2.3065
Zm00001d028019	1.4126
Zm00001d028018	2.8836
Zm00001d028020	0
Zm00001d028021	0
Zm00001d028022	0
Zm00001d028024	0.276
Zm00001d028025	0
Zm00001d028026	0
Zm00001d028028	0
Zm00001d028030	0.718
Zm00001d028031	0
Zm00001d028033	1.4858
Zm00001d028034	0
Zm00001d028032	0.7248
Zm00001d022688	0
Zm00001d028036	5.6516
Zm00001d028035	0.8218
Zm00001d022689	0.3636
Zm00001d028038	1.4398
Zm00001d028039	0
Zm00001d028040	0
Zm00001d028041	0
Zm00001d028042	0
Zm00001d028043	0.6222
Zm00001d028045	0
Zm00001d028047	0.2496
ENSRNA049473738	0.795
Zm00001d028046	0.802
Zm00001d028050	0
Zm00001d028051	0.785
Zm00001d028053	0
Zm00001d028054	1.8782
Zm00001d028056	3.0366
Zm00001d028055	2.8013
Zm00001d028057	0
Zm00001d028061	0
Zm00001d028059	0
Zm00001d028060	0
Zm00001d028063	1.1656
Zm00001d028062	0.66424
Zm00001d028064	0.3572
Zm00001d028066	0.414
Zm00001d028068	4.0864
Zm00001d028069	0
Zm00001d028071	3.6426
Zm00001d028070	5.179684
Zm00001d028072	3.732484
Zm00001d028073	5.96024
Zm00001d022691	4.3118
Zm00001d022690	5.7361
Zm00001d028074	2.5558
Zm00001d028075	0
Zm00001d028076	0
Zm00001d028077	0
Zm00001d028080	0
Zm00001d028079	0
Zm00001d028081	0
Zm00001d028082	0
Zm00001d028083	0
Zm00001d028084	0
Zm00001d022692	0.50274
Zm00001d028085	0.70018
Zm00001d028086	0
Zm00001d028088	0
Zm00001d028090	3.473
Zm00001d028089	0.896
Zm00001d028091	0
Zm00001d028092	0
Zm00001d028093	0.276
Zm00001d028094	1.5796
Zm00001d022693	0.95358
Zm00001d028097	3.28734
Zm00001d028096	1.159622
Zm00001d028098	0
Zm00001d028102	0
Zm00001d028100	5.88356
Zm00001d028103	3.6996
Zm00001d028105	4.6024
Zm00001d028104	8.3552
Zm00001d028107	0
Zm00001d028108	0
Zm00001d028109	0
Zm00001d028110	1.2888
Zm00001d028111	0
Zm00001d028112	0
Zm00001d028113	0.9744
Zm00001d028114	0.27452
Zm00001d028115	0.1138
Zm00001d028116	0
Zm00001d028117	0
Zm00001d028119	0.7804
Zm00001d028118	0.136
Zm00001d028120	1.11352
Zm00001d028122	0.2516
Zm00001d028123	0.4896
Zm00001d028124	1.4628
Zm00001d028125	1.6268
Zm00001d028126	0
Zm00001d028127	0
Zm00001d028128	0.573
Zm00001d022694	1.77828
Zm00001d028129	1.2728
Zm00001d028130	0.1054
Zm00001d022695	0
Zm00001d028135	0.1458
Zm00001d028136	0.1458
Zm00001d028137	0
Zm00001d028138	0.8664
Zm00001d028139	0
Zm00001d022696	0.79958
Zm00001d028140	0.9674
Zm00001d028141	1.098
Zm00001d028143	1.362
Zm00001d028142	1.578
Zm00001d028144	0
Zm00001d028150	0
Zm00001d028151	0.9886
Zm00001d028152	0.1462
Zm00001d028153	1.3146
Zm00001d028154	1.86775
Zm00001d022697	0.3236
Zm00001d028156	0
Zm00001d022699	0
Zm00001d028157	1.3476
Zm00001d028158	0.8808
Zm00001d028159	2.7902
Zm00001d028160	0.4022
Zm00001d028161	1.5994
Zm00001d028162	0.3186
Zm00001d028164	0.3008
Zm00001d028165	0
Zm00001d028167	1.9052
Zm00001d028168	0.1832
Zm00001d028169	1.34366
Zm00001d028170	2.42686
Zm00001d028171	4.21558
Zm00001d028172	0
Zm00001d028173	0.063
Zm00001d028174	0
Zm00001d028175	0
Zm00001d028176	0
Zm00001d028178	3.4756
Zm00001d028177	0
Zm00001d028179	0.4544
Zm00001d028180	0.2772
Zm00001d028181	0.0332
Zm00001d028182	2.78996
Zm00001d028184	2.50998
Zm00001d028183	0.23398
Zm00001d028186	2.5856
Zm00001d028185	3.1194
Zm00001d028187	0.4128
Zm00001d028188	6.5424
Zm00001d028189	0.1854
Zm00001d028191	0
Zm00001d028193	0.8686
Zm00001d028194	3.2482
Zm00001d028195	3.10671
Zm00001d028196	2.36901
Zm00001d028197	0
Zm00001d028198	0
Zm00001d028200	0.4183
Zm00001d028199	0
Zm00001d028201	0.52
Zm00001d028202	4.99918
Zm00001d028203	1.84026
Zm00001d028204	0.27596
Zm00001d028205	1.4986
Zm00001d028206	0.242
Zm00001d028207	1.1046
Zm00001d028208	0.2302
Zm00001d028210	0.312
Zm00001d028209	6.32638
Zm00001d028212	1.7498
Zm00001d028211	0
Zm00001d028213	5.75384
Zm00001d028214	2.72632
Zm00001d028215	1.49812
Zm00001d028216	0.7222
Zm00001d028217	3.09284
Zm00001d028219	2.19298
Zm00001d028218	4.19438
Zm00001d022700	0
Zm00001d028220	0
Zm00001d028221	0
Zm00001d028222	3.06958
Zm00001d028223	2.591
Zm00001d028224	0.0474
Zm00001d028225	0
Zm00001d028226	1.19062
Zm00001d028227	0
Zm00001d028228	1.36394
Zm00001d028229	0.068
Zm00001d022701	0.9004
Zm00001d028230	2.3148
Zm00001d028231	0
Zm00001d028233	1.63334
Zm00001d028232	2.2872
Zm00001d028235	0
Zm00001d028237	1.1514
Zm00001d028239	1.7644
Zm00001d028238	0
Zm00001d028240	0.8638
Zm00001d028241	0.524
Zm00001d028243	0.9726
Zm00001d028245	0.92478
Zm00001d028244	0
Zm00001d028248	0.622
Zm00001d028249	0.2518
Zm00001d022702	0.0175
Zm00001d028250	1.03616
Zm00001d028252	0.53714
Zm00001d028254	1.6516
Zm00001d028255	3.14
Zm00001d028256	0.0423
Zm00001d028257	1.3078
Zm00001d028258	0.0276
Zm00001d028260	1.6496
Zm00001d028261	0.092
Zm00001d028262	0
Zm00001d028263	0
Zm00001d028264	0.7058
Zm00001d028265	0
Zm00001d028266	0.581
Zm00001d028267	1.135
Zm00001d028268	0.072
Zm00001d028269	0.2594
Zm00001d028270	0.2436
Zm00001d028271	1.1516
Zm00001d028272	0.183
Zm00001d028273	1.74036
Zm00001d028274	0.0832
Zm00001d028275	0
Zm00001d028276	0
Zm00001d022703	0
Zm00001d028277	0
Zm00001d028278	0
Zm00001d028279	0.136
Zm00001d028280	0
Zm00001d028281	0
Zm00001d028282	0.7876
Zm00001d028284	2.3424
Zm00001d028285	0
Zm00001d028286	2.6306
ENSRNA049473748	8.3182
Zm00001d028287	0.867
Zm00001d028288	0.867
Zm00001d028290	0
Zm00001d028293	0.206
Zm00001d028294	1.89796
Zm00001d022704	0.0874
Zm00001d028295	0.095504
Zm00001d028296	1.4114
Zm00001d028297	2.4844
Zm00001d028298	0
Zm00001d028299	0
Zm00001d028300	0
Zm00001d028301	0
ENSRNA049473755	0
Zm00001d028302	0
Zm00001d028303	1.8008
Zm00001d028304	0
Zm00001d028305	0.8138
Zm00001d028307	1.7028
Zm00001d022705	2.0308
Zm00001d028308	0.0798
Zm00001d028309	0
Zm00001d028311	0.788
Zm00001d028312	0.65059
Zm00001d028313	0.2296
Zm00001d028314	0.1788
Zm00001d028315	0.14198
Zm00001d028317	0.149
Zm00001d022706	4.023214
Zm00001d028318	2.248304
Zm00001d028319	3.6489
Zm00001d028320	1.609
Zm00001d028323	0
Zm00001d028325	0.149
Zm00001d028326	0.5648
Zm00001d028327	0.228
Zm00001d028328	1.8732
Zm00001d028331	0
Zm00001d028330	4.3678
Zm00001d028332	0.1712
Zm00001d028333	0
Zm00001d028335	0.266
Zm00001d028336	0.0624
Zm00001d022707	0
Zm00001d028337	0
Zm00001d028338	0
Zm00001d028339	0
Zm00001d028340	0
Zm00001d028341	0
Zm00001d028343	0.2944
Zm00001d028344	2.7851
Zm00001d028347	3.8524
Zm00001d028348	0.71338
Zm00001d028349	0.4634
Zm00001d028351	0
Zm00001d028352	0
Zm00001d028354	0
Zm00001d028356	0.349
Zm00001d028355	0.283
Zm00001d028357	0
Zm00001d028358	0
Zm00001d028359	0
Zm00001d028360	1.33678
Zm00001d028361	3.32562
Zm00001d028362	0
Zm00001d028363	0.3936
Zm00001d028365	0.1362
Zm00001d028366	0
Zm00001d028367	0.7088
Zm00001d028368	1.09
Zm00001d028369	3.07488
Zm00001d028370	4.696592
Zm00001d028371	4.46794
Zm00001d028372	0.12221
Zm00001d028373	0
Zm00001d028374	2.13686
Zm00001d028377	0.11398
Zm00001d028376	0.04778
Zm00001d028375	0
Zm00001d028378	0
Zm00001d028379	0
Zm00001d028380	0.516
Zm00001d028382	0.084
Zm00001d028384	0
Zm00001d028385	0.3994
Zm00001d028386	0.01214
Zm00001d028388	2.304
Zm00001d028389	3.2253
Zm00001d028390	0
Zm00001d028391	0.3438
Zm00001d028392	1.2149
Zm00001d028394	0.246
Zm00001d028393	0.408
Zm00001d028395	0.408
Zm00001d028396	0
Zm00001d028397	0
Zm00001d028398	4.302
Zm00001d022708	0.278
Zm00001d022709	0.278
Zm00001d028399	0.5798
Zm00001d028400	1.77566
Zm00001d022710	0.75026
Zm00001d028401	0.126
Zm00001d028402	0
Zm00001d028404	0.1936
