SNP,Chr,Pos,P.value,MAF,nobs,H&B.P.Value,Effect
Zm00001d027283,1,1715993,0.301497902896045,0.495877369404365,590,0.738119802057527,0.020402843289728
Zm00001d027285,1,1816514,0.071815373671842,0.467033004783535,590,0.473257012903257,0.0221284770545688
Zm00001d027286,1,1834232,0.361054980197888,0.434991915478512,590,0.778206451360978,0.014096971163036
Zm00001d027287,1,1835495,0.878138554786249,0.470930858435464,590,0.973839432639703,0.00177111058676957
Zm00001d027288,1,1841722,0.835083925518626,0.486656424220847,590,0.963270697161616,0.00448070826124514
ENSRNA049464979,1,1842786,0.747205839807524,0.458258890709673,590,0.940965819407454,-0.00422156089458717
Zm00001d027290,1,1938725,0.139737700759109,0.45415140991321,590,0.591254253076375,0.027827328120739
Zm00001d027291,1,1942161,0.0959584279604687,0.492860555629321,590,0.521525210247287,0.026465813456933
Zm00001d027292,1,2019934,0.0821476357210695,0.402764495391669,590,0.498830254035095,-0.0365390788846609
Zm00001d027293,1,2026825,0.706158814086209,0.486642785678918,590,0.928985009165298,0.00654852082735785
Zm00001d027295,1,2104761,0.0793219210939217,0.456130204032697,590,0.491562226975603,-0.0344866181623064
Zm00001d027296,1,2109189,0.441914440732644,0.439634487950848,590,0.823573901919825,-0.0147881301596421
Zm00001d027298,1,2154232,0.013335341794561,0.495119804518484,590,0.255240140717553,-0.053689413489977
Zm00001d027299,1,2157230,0.668059880471187,0.331518835594953,590,0.915097217754419,-0.0104128541528601
Zm00001d022653,1,2170280,0.82794702575013,0.462234933334825,590,0.961750945268469,-0.00271213696319644
Zm00001d027300,1,2233954,0.0423951792692925,0.479966227516987,590,0.398260363017169,-0.0300260347577658
Zm00001d027302,1,2284852,0.0534198375723479,0.473770136643896,590,0.429013522493646,0.033946867680904
Zm00001d027304,1,2298093,0.456980499218288,0.493538748310794,590,0.830543659224948,-0.0140382319574942
Zm00001d027305,1,2386120,0.132042948258113,0.460919291443395,590,0.580687031074394,0.0304920303410677
Zm00001d027307,1,2523140,0.0201727384596741,0.431685614378535,590,0.300625961949925,0.0571402228467119
Zm00001d027308,1,2562283,0.0456641941424024,0.469825490598625,590,0.409614637008714,-0.0250664501805136
Zm00001d027309,1,2629289,0.20021829760093,0.465438966262914,590,0.658887124725256,-0.0333605063734761
Zm00001d027311,1,2746424,0.758525212609669,0.457339987553688,590,0.942159664278346,-0.00398863570172514
Zm00001d027312,1,2774054,0.206347765035558,0.46431983360027,590,0.665393135829536,-0.019644597523662
Zm00001d027313,1,2781142,0.0204788090651701,0.386454716163095,590,0.301375234805294,0.0594637184350228
Zm00001d027314,1,2809751,0.965902390265198,0.443471784879221,590,0.992282539873976,-0.000758238243754927
Zm00001d027315,1,2812496,0.00450911831038333,0.459846501465649,590,0.16660257613762,0.0330427007298434
Zm00001d027317,1,2818955,0.461095074963129,0.413322214247214,590,0.832140903435281,-0.0159155489593855
Zm00001d027318,1,2827035,0.670702853322757,0.481436439708152,590,0.916903186580415,0.0081236040342717
Zm00001d027319,1,2869707,0.635795047486205,0.457293543078426,590,0.903189322215884,0.00662748811265601
Zm00001d027320,1,2878535,0.134817721172915,0.461557942214607,590,0.584786731214352,0.0308243038987764
Zm00001d027321,1,2883539,0.260682555752887,0.453036129994589,590,0.70905760035571,-0.0290554597133123
Zm00001d027322,1,2894775,0.222237872996041,0.473137168769503,590,0.678903291251426,-0.0280110055608767
Zm00001d027323,1,2934269,0.298397175001858,0.473674817809157,590,0.735924821988442,0.0264221222641764
Zm00001d027324,1,2959502,0.221042027758688,0.485863735269575,590,0.676991550143532,0.0271332204919538
Zm00001d027325,1,2974258,0.458873005802887,0.497874160593156,590,0.831068894582343,-0.013022291833898
Zm00001d027326,1,2977014,0.899370030150467,0.488052845986025,590,0.977757291756057,0.00277169473575184
Zm00001d027329,1,3031993,0.443853990595675,0.496708739228351,590,0.824582118527494,0.0125151026091888
Zm00001d027330,1,3051538,0.216238447205223,0.441147947436948,590,0.673054299075298,-0.0245411766863909
Zm00001d027332,1,3095308,0.945186121953496,0.473350307287969,590,0.98844842229217,-0.00124419059034714
Zm00001d027333,1,3104159,0.10817496170942,0.470004342444544,590,0.544392061058356,-0.03334948455366
Zm00001d027334,1,3124648,0.89706897007201,0.358563332875341,590,0.97771947850562,-0.00323132202884457
Zm00001d027335,1,3172313,0.0590523190713893,0.448098023748189,590,0.442870429053236,0.0406179599392514
Zm00001d027337,1,3224423,0.849781227587476,0.415551080776664,590,0.967229762519668,-0.00396681952296507
Zm00001d027338,1,3231117,0.118935094466407,0.471964288132327,590,0.561961533099956,0.0247927511189154
Zm00001d027339,1,3232396,0.683712449402626,0.49096959180497,590,0.922422043777703,0.00638019755872
Zm00001d027340,1,3272230,0.261186243204459,0.483054317282352,590,0.709427993321324,-0.0224327746238773
Zm00001d027341,1,3289535,0.721863325639397,0.473072609061502,590,0.933872931303275,-0.00788616683498689
Zm00001d027342,1,3292884,0.994117353453498,0.482133655517109,590,0.998303553325621,0.000162534519574487
Zm00001d027343,1,3368268,0.513024587626655,0.496742200741679,590,0.853253180761509,0.00901240006702658
Zm00001d027344,1,3371324,0.0181367551797772,0.445300887711651,590,0.29038438279583,0.0409029401749806
Zm00001d027345,1,3377702,0.356173131820012,0.414148840937005,590,0.775579899361693,0.0208002805311096
Zm00001d027346,1,3379341,0.283268366204791,0.499785666443899,590,0.725335444424215,-0.0219110214142511
Zm00001d027347,1,3380644,0.970914679649572,0.41718902876904,590,0.993995817508524,0.000869287140983221
Zm00001d027348,1,3441886,0.481545245414288,0.468627355590148,590,0.840544156591547,-0.0142046225064155
Zm00001d027349,1,3443598,0.659972573280025,0.473616287881442,590,0.911958379474136,0.00707508936834789
Zm00001d027351,1,3482848,0.248797056585385,0.463271440510501,590,0.700988721761044,-0.0234779949385169
Zm00001d027352,1,3489406,0.848345634459199,0.480205958778159,590,0.967003535824745,-0.0028451108540388
Zm00001d027353,1,3495121,0.231859336676344,0.484777794030633,590,0.685435947717747,-0.0234572151375904
Zm00001d027354,1,3544521,0.935935979352559,0.363007276225755,590,0.986726789038589,-0.00146575591029485
Zm00001d027355,1,3573479,0.989800087899082,0.471008351796727,590,0.997790711507036,0.000332501033331267
Zm00001d027359,1,3651033,0.638232506813947,0.436356214604527,590,0.903787263479694,-0.00845933189562437
Zm00001d027361,1,3741739,0.00127095598124344,0.497597082151464,590,0.0950465357989449,-0.0702287453539814
Zm00001d027362,1,3772168,0.0881392705740879,0.444212906812711,590,0.507824152679209,-0.0378638201528703
Zm00001d027363,1,3775217,0.681756130386188,0.498795261965165,590,0.921995367078414,-0.00859773857776425
Zm00001d027365,1,3799515,0.45401062716314,0.451952788569631,590,0.829561526717383,-0.0168299100093615
Zm00001d027366,1,3805137,0.161861592105206,0.38944790158384,590,0.616903432706497,-0.0263418170718177
Zm00001d027367,1,3807343,0.0974593536755308,0.392937196046301,590,0.524534969185021,-0.0307713108819996
Zm00001d027368,1,3811533,0.443633235079351,0.469685017463141,590,0.824552322364171,0.0150626099020064
Zm00001d027369,1,3842248,0.00539828428715932,0.495224239159239,590,0.178057725813769,-0.0568292133789522
Zm00001d027370,1,3849540,0.774189880754982,0.460555293616005,590,0.947136020169259,-0.00601589244095702
Zm00001d027371,1,3912856,0.59633585990675,0.497523650674753,590,0.88487419534433,-0.00953040462003801
Zm00001d027373,1,3960300,0.623461949421127,0.484647585513627,590,0.898036238927055,0.00775702502352715
Zm00001d027374,1,3966724,0.311195391927128,0.454594903691972,590,0.744671684185911,-0.0171963798355872
Zm00001d027375,1,3971512,0.145005040834294,0.470022129772564,590,0.598818343161319,-0.0247531727729929
Zm00001d027376,1,3974143,0.994908094250008,0.487173934521031,590,0.998540276252129,0.000122285010803691
Zm00001d027383,1,4110011,0.705455003009429,0.427900734052885,590,0.928935237321645,0.00661613868108674
Zm00001d027384,1,4115013,0.0132217435487009,0.498087553739723,590,0.253784282664738,-0.041742332485735
Zm00001d027385,1,4118697,0.586849321006345,0.412072862870254,590,0.881235311177709,0.00899740885268668
Zm00001d027386,1,4121780,0.874935145643303,0.476558383035024,590,0.973369848371992,0.00221232442277247
Zm00001d027387,1,4133373,0.00704601829462551,0.449311266175662,590,0.19564720694952,-0.0570857408468931
Zm00001d027388,1,4143058,0.193591461837331,0.484960556514128,590,0.651733915797127,0.0198049088617607
Zm00001d027389,1,4149732,0.0788798232789327,0.489529867614602,590,0.490805245172442,0.035572777942817
Zm00001d027392,1,4220852,0.562215798436996,0.347301801949983,590,0.873781520871096,0.0156840825564867
Zm00001d027393,1,4317978,0.211022243405609,0.479221817076646,590,0.668608797977013,0.0168207956164482
Zm00001d027394,1,4340135,0.253016921662638,0.467784098728169,590,0.703670603586509,-0.0219451406870419
Zm00001d027395,1,4341041,1.37417559969955e-07,0.455251382221132,590,0.000929114477346855,-0.0821915838518138
Zm00001d027399,1,4402312,0.845096012402903,0.475554245583998,590,0.966062069769376,0.00296093650334356
Zm00001d027401,1,4417538,0.207785731259844,0.463715322608655,590,0.666457089580409,0.0198040259575318
Zm00001d027403,1,4494975,0.97657415030519,0.464365490771996,590,0.99520907688434,-0.000461229263256313
Zm00001d027404,1,4532388,0.236455698193796,0.465251646406436,590,0.689704956606042,-0.0183575765825225
Zm00001d027405,1,4536701,0.229118723112154,0.470533245125771,590,0.683791201342773,-0.0230336285436374
Zm00001d027409,1,4661492,0.103443022180943,0.488439097615755,590,0.537027711498585,-0.0284391414863119
Zm00001d027411,1,4718946,0.0428878145606756,0.464978431442572,590,0.400155444316517,-0.0447002942404203
Zm00001d027412,1,4724456,0.477819910092035,0.359677613145751,590,0.839461470005029,-0.0168353869914293
Zm00001d027415,1,4832874,0.360574935052927,0.4339284769288,590,0.778206451360978,-0.0172636564670959
Zm00001d027416,1,4840100,0.0744213056046194,0.478865439294889,590,0.478809405079823,-0.0264996033465322
Zm00001d027419,1,4891941,0.0359798083440114,0.450293338782704,590,0.373825413344155,0.0339379598238703
Zm00001d027421,1,4900834,0.0581956378794871,0.483485809645042,590,0.440173909980627,0.0342964662304217
Zm00001d027422,1,4907157,0.136761364614763,0.471219017786593,590,0.587405012622681,-0.0361793915777485
Zm00001d027423,1,4909652,0.255702893993883,0.439368594239503,590,0.705120741468071,0.0227517952564826
Zm00001d027425,1,4979131,0.00312789124042709,0.479850301899259,590,0.140890193920551,0.057573634651943
Zm00001d022658,1,4990238,0.313133739499292,0.469749004940719,590,0.74656017516663,0.0115673988841917
Zm00001d027427,1,5095291,0.63770944708825,0.491412702245389,590,0.903729614161486,-0.00862899739339873
Zm00001d027428,1,5102089,0.175552077286882,0.413229921464775,590,0.631403484760826,-0.0268850199605549
Zm00001d027429,1,5106818,0.294389430994635,0.482310660958982,590,0.733751181415575,0.0186445314311879
Zm00001d027430,1,5111247,0.681463402905516,0.47785063928087,590,0.921995367078414,-0.00587768635002195
Zm00001d027431,1,5123182,0.694895614138789,0.490572567425291,590,0.92514777416479,-0.00707791137442387
Zm00001d027434,1,5159303,0.364787492445755,0.457596103492782,590,0.780327274633824,-0.0213507006726798
Zm00001d027435,1,5202748,0.0834367584231544,0.465579471854396,590,0.500473317852492,-0.0514082706479468
Zm00001d027436,1,5328311,0.0894679497204955,0.498750263794688,590,0.510671412589764,-0.0290134781914827
Zm00001d027439,1,5412144,0.900426789813799,0.477879068464405,590,0.978054503131019,-0.00196205771550578
Zm00001d027440,1,5422920,0.123445684737306,0.446366044281117,590,0.566919433472651,0.0261333322985371
Zm00001d027441,1,5431259,0.0739559394095799,0.482153013562911,590,0.477473951141582,0.0360650506824712
Zm00001d027442,1,5434308,0.00147207900908592,0.4993451511771,590,0.102891578826399,0.0699258658941172
Zm00001d027443,1,5463952,0.80028737293254,0.486201499704193,590,0.954900379465302,-0.00394093419743402
Zm00001d027444,1,5469651,0.900626439950759,0.482349605111972,590,0.978131960022018,0.00260821372523785
Zm00001d027445,1,5481138,0.76055194714371,0.478332022985933,590,0.9424249089472,0.00547304065189139
Zm00001d027446,1,5491481,0.741195067065464,0.478492581891503,590,0.939418471020915,0.00477724092477799
Zm00001d027447,1,5496540,0.586718149221988,0.415012142058797,590,0.881235311177709,-0.00909320904948008
Zm00001d027448,1,5518494,0.262170273881313,0.481305838900163,590,0.709702435176995,-0.0175845170841663
Zm00001d027449,1,5525424,0.362588857956219,0.457581272668726,590,0.779280351487734,0.0168717529651763
Zm00001d027450,1,5528958,0.352108381380096,0.43003360787438,590,0.771936401476237,-0.0188276699879724
Zm00001d027451,1,5537112,0.0135693140800302,0.427245601998254,590,0.257893253193547,0.042773618072355
Zm00001d027453,1,5589770,0.206490461640976,0.450377923691244,590,0.665393135829536,-0.019074879807795
Zm00001d027454,1,5603127,0.602992345220081,0.443662061364259,590,0.889007631683871,0.0110397036624234
Zm00001d027455,1,5610415,0.906173207093163,0.468077668107814,590,0.979119475106213,0.00203973922007125
Zm00001d027456,1,5661737,0.74673930553884,0.487938005548257,590,0.940728736645144,-0.00787515245545667
Zm00001d027457,1,5698898,0.72321618208551,0.485793401518007,590,0.9341424023452,-0.00579528762316817
Zm00001d027458,1,5701680,0.305959503086352,0.474670675066695,590,0.741689928670356,0.0135205463609341
Zm00001d027459,1,5706025,0.739296303158303,0.465135596868814,590,0.938742124931514,0.00394671831675225
Zm00001d027460,1,5799244,0.195087994207496,0.463931561254638,590,0.653249081336268,-0.0228886602242045
Zm00001d027461,1,5816871,0.744969208148031,0.43960883626436,590,0.940223295854777,0.00462363202962235
Zm00001d027462,1,5819752,0.00172777134936512,0.464699329027987,590,0.107173339778853,-0.0722983162722757
Zm00001d027463,1,5883718,0.0407481032939441,0.442576236798394,590,0.392276274338757,0.0375720845080864
Zm00001d027464,1,5886936,0.126334380795248,0.441307928650241,590,0.572696836964205,0.0310170317507739
Zm00001d027466,1,5893819,0.690140320807457,0.438497219351926,590,0.924421419808878,-0.0103025100057252
Zm00001d027468,1,5943755,0.465549074940136,0.399514630141041,590,0.834003332230158,0.0148276263498116
Zm00001d027469,1,6020779,0.229805706962552,0.495389711526125,590,0.683913804175033,-0.0188829811324843
Zm00001d027471,1,6034724,0.171137440282266,0.464272923248491,590,0.625831039284427,0.0361950995320812
Zm00001d027472,1,6068283,0.117731224190551,0.478432552176139,590,0.560471916605081,-0.0343750869180892
Zm00001d027476,1,6207107,0.88799543829308,0.407480155801939,590,0.975482965589374,0.00152930464868764
Zm00001d027477,1,6237666,0.983866987451371,0.441962435452703,590,0.997088549575865,0.000350097377843972
Zm00001d027478,1,6239823,0.94630624231516,0.449976279225196,590,0.988497629347536,-0.00102193828519381
Zm00001d027479,1,6246862,0.953311819777674,0.491449221208407,590,0.989938575521118,-0.000895204329536603
Zm00001d022662,1,6268744,0.58325345205458,0.49831518266761,590,0.880554528623664,0.00647351841839711
Zm00001d027480,1,6270311,0.41314340395724,0.43854790741982,590,0.80852712398613,0.0146017698227607
Zm00001d027481,1,6274095,0.0116590312737825,0.439116859592607,590,0.241994244665732,-0.0513359528723867
Zm00001d027483,1,6293847,0.0485750907520337,0.496323085598125,590,0.416787223790848,-0.0320645235768919
Zm00001d027484,1,6296235,0.0614128467431165,0.478322863255653,590,0.450704306611533,-0.034118421036663
Zm00001d027485,1,6307711,0.812727011258884,0.414697869362023,590,0.957340977998927,-0.00422784241782859
Zm00001d027486,1,6310322,0.761741323639791,0.432090983670275,590,0.942807635879451,-0.00616425103090434
Zm00001d027487,1,6319205,0.10077385329127,0.452389531351894,590,0.531853806962302,-0.0323429920624421
Zm00001d027488,1,6407153,0.373579843728635,0.460459337428674,590,0.784961867987531,-0.0258345099790512
Zm00001d027489,1,6419426,0.922675408794682,0.424086257688433,590,0.983004572015588,-0.00120940160041974
Zm00001d027492,1,6524381,0.209635419916364,0.484957824718678,590,0.668146536905631,-0.0164766675780498
Zm00001d027493,1,6542791,0.0534264205494029,0.476471687194352,590,0.429013522493646,0.0370595002226215
Zm00001d027499,1,6771571,0.950656336718884,0.460234561414023,590,0.989194815856448,-0.0012180036671634
Zm00001d027500,1,6797799,0.645995381106732,0.449057126148832,590,0.907475228858207,0.00740080465476339
Zm00001d027502,1,6825834,0.604920655507007,0.449747652919774,590,0.890005614950066,0.00812413654306354
Zm00001d027503,1,6829809,0.886125135677892,0.412081620424434,590,0.97512195550376,-0.00325359247136292
Zm00001d027504,1,6907596,0.867956581125126,0.492169296507674,590,0.970877894636819,0.00259273403624682
Zm00001d027505,1,6915078,0.459338799638265,0.452641846614943,590,0.831068894582343,-0.0123975843077281
Zm00001d027506,1,7028338,0.160311528958035,0.484832019576217,590,0.61496369593049,0.0215355214601864
Zm00001d027508,1,7064043,0.0165431918047169,0.46190864495494,590,0.279282535804351,0.0394887684979196
Zm00001d027509,1,7072426,0.012958816010377,0.43836628985324,590,0.251425762746757,-0.0453150462990263
Zm00001d027510,1,7075161,0.159400107429544,0.406156476157825,590,0.614423349529003,-0.0366999897445108
Zm00001d027511,1,7144392,0.0053354761898385,0.475650762115001,590,0.178057725813769,-0.0528767290000654
Zm00001d027512,1,7148372,0.461090483410345,0.490560942975423,590,0.832140903435281,0.0120270846638373
Zm00001d027514,1,7177670,0.702023040830935,0.489964493757684,590,0.927969730464494,0.00702595399578976
Zm00001d027515,1,7238508,0.000610230298853788,0.452627724387259,590,0.0698740411791847,-0.0531389649791203
Zm00001d027516,1,7292688,0.99708313357838,0.482150225532278,590,0.999040950934621,-6.08767847025682e-05
Zm00001d027517,1,7297900,0.154490880327863,0.475687416789927,590,0.609334382159406,-0.0242135138039299
Zm00001d027518,1,7311454,0.00657252714500098,0.489420797140367,590,0.191409100995407,0.0746555970356023
Zm00001d027519,1,7339915,0.436514198110184,0.476907076511525,590,0.820911375279183,-0.016865619955445
Zm00001d027520,1,7356309,0.932693658929974,0.499334047917293,590,0.985975770042969,-0.00184523214832967
Zm00001d027522,1,7387871,0.825581980167938,0.485256673917587,590,0.960840730325118,-0.00281061593150483
Zm00001d027523,1,7394984,0.489689584434263,0.471825864305643,590,0.844197122965386,-0.0116415831406893
Zm00001d027524,1,7401558,0.742313272995881,0.496213002441737,590,0.939837201824522,0.0051998445567415
Zm00001d027525,1,7404965,0.458622381104369,0.489421853191676,590,0.831068894582343,0.0107872412093958
Zm00001d027527,1,7457235,0.890041113974068,0.477521188493154,590,0.976126402664553,-0.00237641619723278
Zm00001d027530,1,7490367,0.569609664982879,0.481972058430229,590,0.874916936802343,0.00865847704518843
Zm00001d027532,1,7558685,0.73525443467073,0.493373439653408,590,0.93726226365337,0.00700713275746327
Zm00001d027533,1,7564459,0.577730440817529,0.459233015583449,590,0.877675146144548,-0.0129960515073441
Zm00001d027534,1,7566776,0.00693405087114015,0.471777468249753,590,0.194984187440115,0.0392902211100682
Zm00001d027535,1,7598105,0.628174927149521,0.495377706017874,590,0.900317483029083,0.00793388261405215
Zm00001d027536,1,7686285,0.0069009938688443,0.475364759595332,590,0.194819811255631,-0.063210014330054
Zm00001d027537,1,7714226,0.440630635486825,0.453565833180446,590,0.822703178235498,0.0175200973933183
Zm00001d027539,1,7844326,0.0185311204064501,0.497241024965544,590,0.29257101657469,0.0417268838253202
Zm00001d027540,1,7878334,0.00208067790153449,0.476575180666911,590,0.115425576609795,0.0536033620151242
Zm00001d027541,1,7882159,0.0157170594431824,0.476683792145108,590,0.275005494791469,0.0427079967160867
Zm00001d027542,1,7885525,0.612716571934268,0.389844971240737,590,0.893191915678529,0.00805145328189999
Zm00001d022664,1,7976819,0.278828611797602,0.423126863096683,590,0.720929235761582,-0.0134634021833559
Zm00001d027544,1,7978897,0.342838566821936,0.487530624113434,590,0.766676482326868,0.0160882172643263
Zm00001d027546,1,8017653,0.368268011793253,0.49221832927606,590,0.782812331271128,0.0159383001833802
Zm00001d027548,1,8046302,0.0458735296429708,0.479976614033468,590,0.410515106372774,0.0367852890558096
Zm00001d027550,1,8055744,0.693646366692857,0.424406254118846,590,0.92498181905057,0.00725173063443968
Zm00001d027551,1,8058918,0.0570834307866161,0.457787287846613,590,0.436555131258879,-0.0255838259461455
Zm00001d027554,1,8114840,0.189336256163507,0.402383930259271,590,0.647194015159509,-0.0245477368077859
Zm00001d027555,1,8115891,0.59819059817836,0.474612715256666,590,0.886372163474344,0.0117863958863487
Zm00001d027556,1,8119828,0.0296479827813844,0.478980286212927,590,0.344872986805394,-0.0348671810196556
Zm00001d027557,1,8129042,0.778049821436753,0.441489962926778,590,0.948277469868722,0.0042987818063796
Zm00001d027558,1,8152458,0.000721963118953502,0.452409666997352,590,0.0736811039701791,0.0851522016133217
Zm00001d027567,1,8234878,0.177457334008543,0.472486540301329,590,0.633241007819111,0.0203120609361113
Zm00001d027570,1,8280558,0.248913016399539,0.481094766086003,590,0.700988721761044,-0.0186733142997614
Zm00001d027571,1,8286848,0.812799942201111,0.494845255178488,590,0.957340977998927,-0.00414463461345943
Zm00001d027572,1,8302347,0.22758132726118,0.457552570430968,590,0.682644925275899,0.0223375652596537
Zm00001d027573,1,8308824,0.904749124627297,0.43921667841233,590,0.979053116600659,0.00191817724104504
Zm00001d027576,1,8333074,0.280004779890249,0.447915335255873,590,0.722106348062534,-0.0162861040581903
Zm00001d027578,1,8363014,0.269983007259468,0.49969518539277,590,0.715495616876292,-0.0178703517461897
Zm00001d027580,1,8369095,0.576686341750696,0.495108617871465,590,0.877576770851089,0.0105327877844769
Zm00001d027581,1,8372150,0.0147695302620636,0.4875074477673,590,0.267543165396859,0.0475817968173649
Zm00001d027582,1,8373817,0.136882787054862,0.443329249987873,590,0.587524992207386,0.0202993940333467
Zm00001d027585,1,8485866,1.9711180458833e-05,0.496267473000917,590,0.0148045156550851,-0.0702065177937481
Zm00001d027588,1,8552388,0.77938254099716,0.443650434954711,590,0.948279347674927,-0.00524168548551363
Zm00001d027589,1,8572245,0.223950243506786,0.443561567550314,590,0.680149919533923,0.0216692240168659
Zm00001d027593,1,8596506,0.03586261280927,0.489788216815713,590,0.373392784566577,0.0506430081547737
Zm00001d027595,1,8661846,0.833252408784887,0.49982699811718,590,0.963166393616754,0.00363252887497612
Zm00001d027596,1,8666871,0.421018232509059,0.499803952676946,590,0.812614058562013,-0.0138536745907641
Zm00001d027597,1,8675905,0.92145880501629,0.46138610721336,590,0.98253640702046,0.00146678952133628
Zm00001d027598,1,8677635,0.296395233425345,0.452675381189883,590,0.733865154992992,-0.0164543516044668
Zm00001d027599,1,8701300,0.120845188613232,0.438656483441052,590,0.564931433324187,0.0344607552817666
Zm00001d027601,1,8774248,0.770832426482427,0.419073611233802,590,0.945983866839539,0.00695116258989237
Zm00001d027607,1,8919684,0.679277393137825,0.467272700936713,590,0.921408956858179,-0.00616947140695268
Zm00001d027610,1,8979876,0.061427105718991,0.462378991812088,590,0.450704306611533,-0.025337993807276
Zm00001d027611,1,8981882,0.412656212696258,0.4997220681552,590,0.808372415852297,-0.0112171164475847
Zm00001d027612,1,9008951,0.799768046031304,0.426525643122822,590,0.954695786165045,0.00579230211512521
Zm00001d027613,1,9015345,7.84150483107965e-07,0.495873897750746,590,0.00265091872695686,-0.113077266803339
Zm00001d027618,1,9112947,0.604383589114413,0.462040052213315,590,0.889701484555489,0.00903794072893799
Zm00001d027619,1,9119707,0.0123691619417599,0.478799112907995,590,0.248716717260146,-0.0558146599612098
Zm00001d027621,1,9160553,0.518045496072302,0.438642520488592,590,0.855501984519512,0.00958454911763906
Zm00001d027622,1,9228763,0.528311792252688,0.495377739054092,590,0.86104570456032,-0.0106012170925312
Zm00001d027623,1,9256393,0.930701391019865,0.483982778017085,590,0.985664110795538,-0.00123947886141429
Zm00001d027624,1,9341530,0.533039161344851,0.455766899792871,590,0.862654843315068,-0.0150491288181664
Zm00001d027625,1,9346098,0.8829737557434,0.455967607468339,590,0.974407379430001,0.00310920550803045
Zm00001d027626,1,9404918,0.681048967979927,0.4827294741068,590,0.92197484459517,0.00931419410910536
Zm00001d027627,1,9451166,0.264028829039818,0.440180188531808,590,0.710513401132525,0.0158399232665746
Zm00001d027630,1,9488000,0.415235930346803,0.467287861336225,590,0.809373386394903,-0.015845230092158
Zm00001d027633,1,9547625,0.0459664696755045,0.341673024319004,590,0.410832234669308,0.0481289311051112
Zm00001d027636,1,9637254,0.350957472000119,0.416378617365798,590,0.771176863035686,0.0208963081767226
Zm00001d027637,1,9638241,0.362926513035894,0.477902822544721,590,0.779366964034917,-0.0167812563971081
Zm00001d027638,1,9730995,0.423810743607012,0.472154925996508,590,0.813701030475614,-0.00923838941505944
Zm00001d027639,1,9746407,0.242798897912296,0.488447916817245,590,0.695014415118336,-0.0152495800434317
Zm00001d027642,1,9775794,0.479221232088648,0.477393898496964,590,0.839621553730195,-0.0105888806768599
Zm00001d027643,1,9781367,0.238751783074572,0.442373986363785,590,0.690946375328064,-0.0193103272115641
Zm00001d027645,1,9880364,0.968154349484864,0.400166973422178,590,0.993228604417085,-0.00120615880706776
Zm00001d027646,1,9986510,0.248764909561273,0.461331583873527,590,0.700988721761044,-0.0223250073791963
Zm00001d027648,1,10061602,0.369272928908791,0.481192453202551,590,0.78303575996967,0.0153626747736609
Zm00001d027649,1,10105590,0.64937725279039,0.465624276860954,590,0.908577135692273,-0.00847404513454686
Zm00001d027652,1,10150836,0.286089860203518,0.483342096552249,590,0.727891625527041,-0.03078464769742
Zm00001d027655,1,10257667,0.171015362853032,0.466398327891182,590,0.625831039284427,0.0237271233033548
