Chr	Start	End	Min_P	Min_Pos	N_Gene	#target	#overlap	Ratio_target_overlap	Ratio_neg_g_overlap	P_grp	P_les
1	158384706	158459304	7.42364e-11	158430974	145	145	1	0.689655172413793	0.0307597662257767	1.001	0.001
1	172131461	172197153	9.69905e-11	172141461	262	262	18	6.87022900763359	0.55367579206398	0.999	0.002
1	219675293	219724831	3.47353e-09	219698043	183	183	18	9.83606557377049	0.55367579206398	0.928	0.036
1	232327484	232422782	1.00251e-08	232395325	134	134	8	5.97014925373134	0.246078129806213	0.998	0.001
1	233426110	233486506	6.61048e-11	233459376	142	142	12	8.45070422535211	0.36911719470932	0.956	0.026
1	233716463	233760185	1.07259e-09	233730199	211	211	10	4.739336492891	0.307597662257767	1.001	0.001
1	246377873	246686361	1.61603e-46	246655256	445	445	16	3.59550561797753	0.492156259612427	1.001	0.001
1	246837384	246894523	4.29591e-13	246884523	173	173	47	27.1676300578035	1.4457090126115	0.001	1.001
1	263046064	263100019	4.01802e-13	263064280	251	251	19	7.56972111553785	0.584435558289757	0.998	0.003
1	263557555	263637520	1.69115e-11	263567555	302	302	38	12.5827814569536	1.16887111657951	0.661	0.283
1	263805830	263857131	1.06772e-12	263830720	176	176	10	5.68181818181818	0.307597662257767	1	0.001
1	264204958	264258137	1.51543e-09	264238627	189	189	12	6.34920634920635	0.36911719470932	0.996	0.004
1	264423345	264474855	4.06339e-09	264461570	127	127	2	1.5748031496063	0.0615195324515534	1.001	0.001
1	267888325	268025056	5.37651e-12	267900353	227	227	21	9.2511013215859	0.64595509074131	0.978	0.018
1	270419782	270560193	3.43321e-11	270429782	342	342	8	2.33918128654971	0.246078129806213	1.001	0.001
1	270721796	270942358	2.11275e-11	270816325	138	138	13	9.42028985507246	0.399876960935097	0.886	0.068
1	271473269	271525408	1.33696e-11	271507220	182	182	4	2.1978021978022	0.123039064903107	1.001	0.001
1	272961360	273112828	1.08895e-13	272993541	293	293	25	8.53242320819113	0.768994155644417	0.993	0.006
1	273324261	273431961	1.1976e-11	273382489	299	299	31	10.3678929765886	0.953552752999077	0.948	0.034
1	273789193	274255003	1.21859e-10	273957817	633	633	28	4.42338072669826	0.861273454321747	1.001	0.001
1	274550015	274580469	1.23465e-09	274566180	161	161	3	1.86335403726708	0.09227929867733	1.001	0.001
1	274922842	274968118	2.4285e-10	274940299	115	115	0	0	0	1.001	0.001
1	275240727	275311997	4.50319e-09	275265227	109	109	6	5.5045871559633	0.18455859735466	0.999	0.002
1	275697093	275752654	6.59112e-13	275712995	111	111	16	14.4144144144144	0.492156259612427	0.378	0.513
1	276205092	276238512	7.41604e-11	276227336	227	227	23	10.1321585903084	0.707474623192864	0.944	0.034
1	277046482	277071355	6.30437e-12	277056482	103	103	15	14.5631067961165	0.46139649338665	0.343	0.546
1	277181951	277235626	4.82063e-09	277199352	155	155	18	11.6129032258065	0.55367579206398	0.764	0.183
1	277345752	277742885	2.87478e-12	277564815	661	661	51	7.71558245083207	1.56874807751461	1.001	0.001
1	277988028	278121208	1.69437e-11	278034897	125	125	17	13.6	0.522916025838204	0.503	0.395
1	278236710	278256710	1.27459e-11	278246710	250	250	1	0.4	0.0307597662257767	1.001	0.001
1	278789654	279043030	4.84516e-12	278853622	716	716	53	7.40223463687151	1.63026760996616	1.001	0.001
1	279265103	279395319	7.43677e-11	279293455	103	103	6	5.8252427184466	0.18455859735466	0.991	0.006
1	279549456	279627469	6.87311e-10	279591331	115	115	10	8.69565217391304	0.307597662257767	0.941	0.033
1	280057303	280095794	1.54757e-11	280067303	106	106	5	4.71698113207547	0.153798831128883	0.995	0.002
1	283378741	283466674	1.06787e-13	283423517	335	335	44	13.134328358209	1.35342971393417	0.472	0.451
1	283937345	284105054	5.34467e-12	284084528	436	436	46	10.5504587155963	1.41494924638573	0.966	0.026
1	295575328	295641399	2.04131e-10	295609401	108	108	4	3.7037037037037	0.123039064903107	1.001	0.001
1	297400691	297461182	9.87865e-10	297438020	323	323	45	13.9318885448916	1.38418948015995	0.457	0.483
1	299416201	299546964	7.72379e-12	299426201	285	285	18	6.31578947368421	0.55367579206398	1	0.002
1	300124389	300162891	4.59952e-13	300134389	254	254	20	7.8740157480315	0.615195324515534	0.995	0.004
1	300594300	300669432	7.43323e-10	300609599	176	176	15	8.52272727272727	0.46139649338665	0.979	0.011
1	300913669	300981138	4.53707e-12	300943699	348	348	19	5.45977011494253	0.584435558289757	1.001	0.001
1	301277263	301398544	1.56445e-13	301376427	323	323	39	12.0743034055728	1.19963088280529	0.669	0.278
1	301713731	301779671	3.03483e-11	301728041	118	118	8	6.77966101694915	0.246078129806213	0.978	0.01
1	302076201	302158800	2.34825e-10	302145928	146	146	10	6.84931506849315	0.307597662257767	0.984	0.007
1	304903030	305034183	7.43793e-18	304961307	176	176	38	21.5909090909091	1.16887111657951	0.002	0.999
1	305553753	305611682	1.12817e-10	305563753	102	102	6	5.88235294117647	0.18455859735466	0.994	0.004
2	1325042	1350584	2.40161e-14	1335168	379	379	37	9.76253298153034	1.13811135035374	0.982	0.013
2	1535167	1651009	5.80993e-14	1548124	644	644	60	9.3167701863354	1.8455859735466	1.001	0.001
2	1903238	1980689	4.78013e-13	1946578	140	140	3	2.14285714285714	0.09227929867733	1.001	0.001
2	2307558	2358128	2.08399e-10	2347536	106	106	9	8.49056603773585	0.27683789603199	0.911	0.05
2	2800975	2824519	6.65189e-13	2811285	113	113	3	2.65486725663717	0.09227929867733	1.001	0.001
2	3051454	3137014	1.18858e-09	3107866	236	236	7	2.96610169491525	0.215318363580437	1.001	0.001
2	3257552	3375280	1.60333e-10	3311060	173	173	2	1.15606936416185	0.0615195324515534	1.001	0.001
2	3533915	3644570	2.03352e-12	3594597	594	594	6	1.01010101010101	0.18455859735466	1.001	0.001
2	3923523	4087382	3.8403e-12	3933523	711	711	36	5.06329113924051	1.10735158412796	1.001	0.001
2	4217484	4308427	3.44139e-12	4227826	306	306	5	1.63398692810458	0.153798831128883	1.001	0.001
2	4422732	4564139	3.2854e-15	4466680	564	564	12	2.12765957446809	0.36911719470932	1.001	0.001
2	9761277	9811879	3.496e-12	9797226	121	121	2	1.65289256198347	0.0615195324515534	1.001	0.001
2	10702689	10805805	4.60428e-12	10764779	163	163	2	1.22699386503067	0.0615195324515534	1.001	0.001
2	27135729	27168538	4.35502e-12	27147354	110	110	2	1.81818181818182	0.0615195324515534	1.001	0.001
2	27290539	27458993	1.24999e-15	27313524	298	298	5	1.67785234899329	0.153798831128883	1.001	0.001
2	49793230	49871916	5.04065e-10	49804122	203	203	56	27.5862068965517	1.72254690864349	0.001	1.001
2	61457701	61652559	5.60704e-10	61612411	160	160	17	10.625	0.522916025838204	0.793	0.147
2	71658377	71785415	5.3861e-14	71750197	162	162	15	9.25925925925926	0.46139649338665	0.943	0.03
2	109697373	109721488	2.21486e-12	109711488	261	261	59	22.6053639846743	1.81482620732082	0.001	1.001
2	111327553	111395248	1.73732e-10	111373732	156	156	31	19.8717948717949	0.953552752999077	0.018	0.973
2	112037540	112124843	1.76524e-09	112071588	113	113	25	22.1238938053097	0.768994155644417	0.009	0.991
2	112646534	112732731	8.83589e-10	112679344	107	107	16	14.9532710280374	0.492156259612427	0.269	0.623
2	168616454	168648729	2.10607e-10	168628634	328	328	2	0.609756097560976	0.0615195324515534	1.001	0.001
2	168954660	169031286	2.4214e-09	168969026	222	222	3	1.35135135135135	0.09227929867733	1.001	0.001
2	195271533	195332457	2.20762e-13	195302126	123	123	0	0	0	1.001	0.001
2	204141538	204235950	2.96421e-10	204224815	282	282	50	17.7304964539007	1.53798831128883	0.02	0.974
2	208474386	208587009	1.18088e-14	208499671	555	555	25	4.5045045045045	0.768994155644417	1.001	0.001
2	208699401	208967548	3.15158e-14	208876496	1013	1013	61	6.02171767028628	1.87634573977238	1.001	0.001
2	209197131	209402002	5.51921e-11	209337161	434	434	19	4.3778801843318	0.584435558289757	1.001	0.001
2	209553105	209580536	7.65077e-12	209563105	253	253	45	17.7865612648221	1.38418948015995	0.03	0.961
2	210151383	210204307	1.28397e-12	210179474	409	409	24	5.8679706601467	0.73823438941864	1.001	0.001
2	211138627	211225620	4.26634e-10	211149240	151	151	2	1.32450331125828	0.0615195324515534	1.001	0.001
2	211330404	211481725	3.90302e-13	211471725	1221	1221	13	1.06470106470106	0.399876960935097	1.001	0.001
2	211610736	211632611	1.37243e-12	211620987	109	109	1	0.91743119266055	0.0307597662257767	1.001	0.001
2	212731277	212831333	1.54044e-12	212774105	577	577	5	0.866551126516464	0.153798831128883	1.001	0.001
2	224661478	225161208	1.99021e-15	224815043	1301	1301	89	6.84089162182936	2.73761919409412	1.001	0.001
2	227385252	227608879	1.22688e-12	227451978	138	138	13	9.42028985507246	0.399876960935097	0.787	0.136
2	228230031	228336858	2.09719e-11	228307093	172	172	24	13.953488372093	0.73823438941864	0.381	0.542
2	228614209	228744921	3.94139e-15	228637605	635	635	59	9.29133858267716	1.81482620732082	0.999	0.003
2	229184560	229286385	1.04364e-10	229261429	109	109	12	11.0091743119266	0.36911719470932	0.681	0.219
2	229696164	230377737	7.53913e-17	229782523	2290	2290	161	7.03056768558952	4.95232236235005	1.001	0.001
2	230621721	230877884	1.95387e-13	230795209	1315	1315	84	6.38783269961977	2.58382036296524	1.001	0.001
2	231289882	231311881	2.82335e-14	231300574	266	266	62	23.3082706766917	1.90710550599815	0.001	1.001
2	233718830	233765723	2.26268e-13	233755723	185	185	1	0.540540540540541	0.0307597662257767	1.001	0.001
2	234454527	234501106	8.02473e-11	234483323	100	100	2	2	0.0615195324515534	1.001	0.001
2	234998828	235057236	5.91649e-13	235008828	507	507	15	2.9585798816568	0.46139649338665	1.001	0.001
2	235338518	235447975	7.50262e-11	235437474	409	409	7	1.71149144254279	0.215318363580437	1.001	0.001
2	235825695	235911755	3.17012e-13	235866458	130	130	4	3.07692307692308	0.123039064903107	1.001	0.001
2	236016326	236282371	5.9633e-17	236204424	658	658	9	1.3677811550152	0.27683789603199	1.001	0.001
2	236815045	236891951	2.67146e-11	236860879	375	375	16	4.26666666666667	0.492156259612427	1.001	0.001
2	237016274	237111085	3.43419e-13	237051718	330	330	15	4.54545454545455	0.46139649338665	1.001	0.001
2	237538673	237581148	4.43107e-11	237556125	101	101	7	6.93069306930693	0.215318363580437	0.966	0.014
2	238088571	238163559	2.11473e-09	238098571	110	110	10	9.09090909090909	0.307597662257767	0.892	0.056
2	238891644	239023823	2.54543e-15	238986612	536	536	67	12.5	2.06090433712704	0.791	0.173
2	239453374	239490372	1.1512e-11	239479686	513	513	12	2.33918128654971	0.36911719470932	1.001	0.001
3	792159	893574	1.84427e-09	806561	174	174	6	3.44827586206897	0.18455859735466	1.001	0.001
3	2336364	2371521	2.40563e-09	2359458	142	142	9	6.33802816901408	0.27683789603199	0.998	0.002
3	2929222	2995982	3.67086e-09	2945156	120	120	5	4.16666666666667	0.153798831128883	1	0.001
3	3163596	3489885	5.6451e-12	3184864	608	608	31	5.09868421052632	0.953552752999077	1.001	0.001
3	6285977	6314813	4.80378e-11	6300248	199	199	9	4.52261306532663	0.27683789603199	1.001	0.001
3	7179251	7201629	2.81411e-10	7191629	161	161	2	1.24223602484472	0.0615195324515534	1.001	0.001
3	16336647	16477572	7.84981e-10	16467381	190	190	30	15.7894736842105	0.922792986773301	0.208	0.746
3	25330156	25448940	1.4137e-08	25370648	115	115	5	4.34782608695652	0.153798831128883	1	0.001
3	28472660	28557668	6.55814e-10	28536671	126	126	9	7.14285714285714	0.27683789603199	0.923	0.04
3	31610187	31636290	3.9852e-11	31626283	110	110	2	1.81818181818182	0.0615195324515534	1.001	0.001
3	33630970	33690414	6.60276e-13	33642728	509	509	25	4.91159135559921	0.768994155644417	1.001	0.001
3	52893251	52977750	3.4965e-14	52903277	280	280	9	3.21428571428571	0.27683789603199	1.001	0.001
3	53761046	53952783	3.78996e-11	53929088	301	301	19	6.31229235880399	0.584435558289757	1.001	0.001
3	58556577	58726796	3.79501e-09	58651015	110	110	1	0.909090909090909	0.0307597662257767	1.001	0.001
3	102769396	102951890	5.74064e-13	102920294	396	396	65	16.4141414141414	1.99938480467548	0.037	0.955
3	113642256	113764542	6.79995e-10	113719558	121	121	24	19.8347107438017	0.73823438941864	0.017	0.972
3	114756099	114795624	3.51956e-14	114766099	101	101	3	2.97029702970297	0.09227929867733	1.001	0.001
3	119601719	119842446	2.61347e-13	119674458	544	544	2	0.367647058823529	0.0615195324515534	1.001	0.001
3	123719362	123801765	1.17127e-19	123769353	230	230	1	0.434782608695652	0.0307597662257767	1.001	0.001
3	123974259	124146852	1.95885e-11	124128419	340	340	19	5.58823529411765	0.584435558289757	1.001	0.001
3	128358634	128420659	1.24884e-14	128394903	108	108	8	7.40740740740741	0.246078129806213	0.853	0.086
3	129123970	129223478	4.73101e-45	129169513	696	696	14	2.01149425287356	0.430636727160874	1.001	0.001
3	129632488	129695318	1.12618e-17	129678351	462	462	15	3.24675324675325	0.46139649338665	1.001	0.001
3	131573805	131779123	3.37847e-11	131749371	545	545	46	8.44036697247706	1.41494924638573	1.001	0.001
3	135481996	135568353	1.75014e-13	135499201	877	877	52	5.92930444697834	1.59950784374039	1.001	0.001
3	137040569	137219691	2.67493e-11	137114081	391	391	11	2.81329923273657	0.338357428483543	1.001	0.001
3	140867143	140914999	4.62665e-16	140895286	100	100	1	1	0.0307597662257767	1.001	0.001
3	143741313	143813344	7.52942e-13	143794088	315	315	37	11.7460317460317	1.13811135035374	0.756	0.191
3	148069978	148090188	7.56089e-11	148079978	157	157	1	0.636942675159236	0.0307597662257767	1.001	0.001
3	155176642	155239372	1.90783e-10	155192360	104	104	2	1.92307692307692	0.0615195324515534	1.001	0.001
3	157872828	157939876	2.83238e-09	157928690	125	125	15	12	0.46139649338665	0.671	0.234
3	164241710	164379107	4.90205e-12	164253105	121	121	9	7.43801652892562	0.27683789603199	0.98	0.009
3	175536527	175650620	1.92747e-08	175555433	104	104	62	59.6153846153846	1.90710550599815	0.001	1.001
3	177544774	177787193	3.17236e-11	177632873	182	182	18	9.89010989010989	0.55367579206398	0.816	0.113
3	178052789	178158491	5.1777e-12	178109431	231	231	15	6.49350649350649	0.46139649338665	1.001	0.001
3	180251314	180435611	1.33447e-10	180423525	128	128	4	3.125	0.123039064903107	1.001	0.001
3	180720685	180758768	1.94681e-12	180746106	116	116	2	1.72413793103448	0.0615195324515534	1.001	0.001
3	181333513	181408961	3.12396e-12	181396050	250	250	2	0.8	0.0615195324515534	1.001	0.001
3	186061147	186081147	1.35574e-09	186071147	109	109	6	5.5045871559633	0.18455859735466	0.993	0.002
3	186424408	186597806	6.8787e-10	186531490	422	422	62	14.6919431279621	1.90710550599815	0.219	0.743
3	193411482	193432183	1.89654e-09	193422096	103	103	33	32.0388349514563	1.01507228545063	0.001	1.001
3	202386570	202413151	1.82043e-09	202396624	217	217	12	5.52995391705069	0.36911719470932	1.001	0.001
3	203788992	203811679	3.71588e-09	203801679	122	122	4	3.27868852459016	0.123039064903107	1.001	0.001
3	222052324	222116426	1.67423e-12	222079227	174	174	3	1.72413793103448	0.09227929867733	1.001	0.001
3	230944366	231047951	7.98101e-13	230958951	257	257	5	1.94552529182879	0.153798831128883	1.001	0.001
3	232637909	232763186	0	232726847	257	257	16	6.22568093385214	0.492156259612427	1	0.001
3	233135482	233159467	2.35642e-09	233149191	172	172	7	4.06976744186047	0.215318363580437	1.001	0.001
4	875085	934919	1.58654e-11	909628	183	183	9	4.91803278688525	0.27683789603199	1.001	0.001
4	1437233	1542942	3.89325e-14	1513710	521	521	16	3.07101727447217	0.492156259612427	1.001	0.001
4	5006950	5045938	6.22388e-14	5027814	633	633	12	1.8957345971564	0.36911719470932	1.001	0.001
4	5733401	5771613	5.95092e-17	5756279	198	198	2	1.01010101010101	0.0615195324515534	1.001	0.001
4	5997958	6041463	3.5787e-10	6028609	115	115	2	1.73913043478261	0.0615195324515534	1.001	0.001
4	7788466	7889730	8.05074e-20	7816173	968	968	35	3.61570247933884	1.07659181790218	1.001	0.001
4	11569182	11772496	8.23438e-16	11757739	504	504	23	4.56349206349206	0.707474623192864	1.001	0.001
4	12922886	13108026	6.19663e-16	13009071	747	747	22	2.94511378848728	0.676714856967087	1.001	0.001
4	17239004	17545541	6.67285e-11	17470195	542	542	21	3.87453874538745	0.64595509074131	1.001	0.001
4	17726745	17795638	2.34955e-13	17783813	234	234	4	1.70940170940171	0.123039064903107	1.001	0.001
4	18933733	18980259	1.9379e-12	18957081	149	149	3	2.01342281879195	0.09227929867733	1.001	0.001
4	19148069	19195209	7.44953e-15	19174210	403	403	2	0.496277915632754	0.0615195324515534	1.001	0.001
4	29916225	30124112	3.68433e-11	30059632	263	263	38	14.4486692015209	1.16887111657951	0.325	0.622
4	30488862	30564659	1.93152e-09	30512311	147	147	9	6.12244897959184	0.27683789603199	0.999	0.002
4	30845449	30887674	2.26738e-12	30856951	223	223	12	5.38116591928251	0.36911719470932	1.001	0.001
4	31150823	31281485	1.42781e-10	31204386	170	170	12	7.05882352941176	0.36911719470932	0.998	0.002
4	32659739	32716037	2.21012e-10	32696201	355	355	34	9.57746478873239	1.04583205167641	0.997	0.003
4	34674487	34849167	5.1234e-16	34787342	747	747	46	6.15796519410977	1.41494924638573	1.001	0.001
4	38427140	38461651	1.68514e-12	38451651	171	171	35	20.4678362573099	1.07659181790218	0.009	0.99
4	38562077	38588840	1.64293e-12	38576234	429	429	122	28.4382284382284	3.75269147954476	0.001	1.001
4	39974655	40009597	3.32452e-15	39990857	292	292	3	1.02739726027397	0.09227929867733	1.001	0.001
4	44107845	44131797	8.91301e-122	44118522	184	184	0	0	0	1.001	0.001
4	51875555	51928990	6.9214e-09	51888036	298	298	26	8.7248322147651	0.799753921870194	0.996	0.004
4	52868824	52944844	9.02421e-10	52897575	253	253	27	10.6719367588933	0.83051368809597	0.928	0.052
4	54878789	55008619	1.6235e-17	54992042	456	456	24	5.26315789473684	0.73823438941864	1.001	0.001
4	74231783	74257151	7.16096e-13	74244482	116	116	6	5.17241379310345	0.18455859735466	1	0.001
4	92860836	92984599	0	92870836	592	592	11	1.85810810810811	0.338357428483543	1.001	0.001
4	123414777	123453679	5.72214e-12	123443679	120	120	2	1.66666666666667	0.0615195324515534	1.001	0.001
4	123909554	123949335	1.48211e-10	123919554	114	114	3	2.63157894736842	0.09227929867733	1.001	0.001
4	126321816	126562006	1.3417e-14	126385303	418	418	50	11.9617224880383	1.53798831128883	0.759	0.199
4	126927507	127183917	4.48708e-11	127128611	365	365	36	9.86301369863014	1.10735158412796	0.936	0.047
4	135046172	135116364	1.59135e-10	135073588	109	109	7	6.42201834862385	0.215318363580437	0.981	0.011
4	136229352	136419005	1.72526e-16	136245550	427	427	35	8.19672131147541	1.07659181790218	0.995	0.004
4	136749576	136885782	7.07526e-19	136774289	335	335	30	8.95522388059701	0.922792986773301	0.993	0.004
4	146602349	146625517	2.87549e-18	146614303	141	141	15	10.6382978723404	0.46139649338665	0.852	0.092
4	149384188	149509310	1.66141e-10	149499310	151	151	11	7.28476821192053	0.338357428483543	0.987	0.006
4	154180109	154282385	7.4884e-13	154253873	149	149	10	6.71140939597315	0.307597662257767	0.989	0.004
4	159894436	159953011	2.03839e-10	159917802	182	182	7	3.84615384615385	0.215318363580437	1.001	0.001
4	177012021	177137829	7.66518e-10	177127829	132	132	9	6.81818181818182	0.27683789603199	0.998	0.001
4	177621144	177787674	2.73579e-12	177746241	237	237	25	10.5485232067511	0.768994155644417	0.89	0.085
4	178616781	178769038	1.90013e-09	178663722	104	104	10	9.61538461538461	0.307597662257767	0.858	0.083
4	179201304	179385669	8.26593e-11	179368805	100	100	6	6	0.18455859735466	0.992	0.002
4	179665237	179785748	6.542e-12	179688896	342	342	7	2.04678362573099	0.215318363580437	1.001	0.001
4	190401871	190425877	4.71363e-10	190413773	140	140	3	2.14285714285714	0.09227929867733	1.001	0.001
4	196267642	196707064	6.32909e-11	196378185	543	543	133	24.4935543278085	4.0910489080283	0.001	1.001
4	197778127	197885144	3.00184e-10	197849065	172	172	44	25.5813953488372	1.35342971393417	0.001	1.001
4	198606258	198633492	6.94775e-19	198620796	123	123	2	1.6260162601626	0.0615195324515534	1.001	0.001
4	199234683	199439927	5.07797e-10	199364162	289	289	76	26.2975778546713	2.33774223315903	0.001	1.001
4	199692555	199842337	7.00195e-12	199799480	457	457	69	15.0984682713348	2.12242386957859	0.161	0.802
4	200023620	200436976	8.91466e-11	200075411	662	662	165	24.9244712990937	5.07536142725315	0.001	1.001
4	214454771	214504355	2.73173e-09	214488195	168	168	17	10.1190476190476	0.522916025838204	0.907	0.062
4	215713849	215855370	2.20566e-13	215777558	908	908	104	11.4537444933921	3.19901568748078	0.989	0.012
4	235548974	235626955	3.04217e-10	235578518	120	120	70	58.3333333333333	2.15318363580437	0.001	1.001
4	241430551	241469046	3.99396e-12	241440551	151	151	2	1.32450331125828	0.0615195324515534	1.001	0.001
5	3592352	3656320	2.26511e-10	3606169	169	169	36	21.301775147929	1.10735158412796	0.006	0.994
5	4078296	4131418	1.0297e-18	4098347	402	402	46	11.4427860696517	1.41494924638573	0.886	0.08
5	7105415	7223170	4.04193e-11	7131058	298	298	12	4.02684563758389	0.36911719470932	1.001	0.001
5	7500169	7570071	3.4427e-13	7541300	684	684	36	5.26315789473684	1.10735158412796	1.001	0.001
5	8842466	8918241	2.17425e-17	8874455	351	351	2	0.56980056980057	0.0615195324515534	1.001	0.001
5	9941494	10186078	1.91852e-13	10175971	533	533	9	1.68855534709193	0.27683789603199	1.001	0.001
5	10676377	10752169	8.22059e-12	10741782	183	183	7	3.82513661202186	0.215318363580437	1.001	0.001
5	20521681	20625111	2.77744e-10	20563859	243	243	25	10.2880658436214	0.768994155644417	0.941	0.039
5	24977811	25119981	2.30658e-11	25043327	578	578	31	5.36332179930796	0.953552752999077	1.001	0.001
5	25424781	25724689	2.48512e-13	25598803	1999	1999	95	4.75237618809405	2.92217779144879	1.001	0.001
5	31416764	31455154	5.44533e-12	31445154	241	241	20	8.29875518672199	0.615195324515534	0.996	0.003
5	31825300	31855179	9.45069e-12	31835300	141	141	26	18.4397163120567	0.799753921870194	0.056	0.917
5	50566200	50678356	2.29204e-14	50638678	214	214	21	9.81308411214953	0.64595509074131	0.965	0.024
5	55207402	55290670	2.33453e-10	55246691	225	225	32	14.2222222222222	0.984312519224854	0.411	0.518
5	92325443	92346272	1.86815e-16	92335443	103	103	2	1.94174757281553	0.0615195324515534	1.001	0.001
5	96699749	96764950	4.84789e-12	96717361	106	106	8	7.54716981132075	0.246078129806213	0.951	0.025
5	96994970	97393943	1.31216e-13	97072524	395	395	23	5.82278481012658	0.707474623192864	1.001	0.001
5	147277901	147506110	2.19402e-10	147475695	486	486	32	6.5843621399177	0.984312519224854	1.001	0.001
5	150661015	150780998	2.97978e-16	150756652	210	210	57	27.1428571428571	1.75330667486927	0.001	1.001
5	156127251	156157502	5.22232e-10	156137296	103	103	2	1.94174757281553	0.0615195324515534	1.001	0.001
5	162415089	162467584	3.98192e-15	162427466	269	269	5	1.85873605947955	0.153798831128883	1.001	0.001
5	167676793	167708150	2.22371e-10	167695547	102	102	0	0	0	1.001	0.001
5	207720289	207762573	3.85255e-09	207748487	137	137	20	14.5985401459854	0.615195324515534	0.266	0.637
5	218851823	218920264	1.81243e-12	218883904	263	263	25	9.50570342205323	0.768994155644417	0.975	0.016
6	15841829	15865279	4.68379e-11	15854501	313	313	2	0.638977635782748	0.0615195324515534	1.001	0.001
6	33445010	33471037	1.92587e-10	33461037	108	108	48	44.4444444444444	1.47646877883728	0.001	1.001
6	35649313	35761877	8.71498e-09	35702209	148	148	6	4.05405405405405	0.18455859735466	1.001	0.001
6	66255582	66306877	1.64527e-10	66282598	194	194	1	0.515463917525773	0.0307597662257767	1.001	0.001
6	66566612	66639541	6.15242e-14	66617047	297	297	3	1.01010101010101	0.09227929867733	1.001	0.001
6	69512744	69661065	6.16619e-16	69557985	479	479	6	1.25260960334029	0.18455859735466	1.001	0.001
6	77594259	77749903	7.84512e-14	77656684	152	152	7	4.60526315789474	0.215318363580437	1	0.001
6	99738181	99775376	2.78294e-09	99752467	101	101	9	8.91089108910891	0.27683789603199	0.831	0.097
6	103252892	103287646	6.23852e-10	103266777	281	281	80	28.4697508896797	2.46078129806213	0.001	1.001
6	106356137	106389919	3.93707e-12	106377627	171	171	46	26.9005847953216	1.41494924638573	0.001	1.001
6	109017935	109100371	1.70316e-18	109028169	583	583	6	1.02915951972556	0.18455859735466	1.001	0.001
6	114600122	114652462	3.49767e-11	114642279	192	192	6	3.125	0.18455859735466	1.001	0.001
6	115233694	115313743	8.78453e-11	115281536	212	212	25	11.7924528301887	0.768994155644417	0.784	0.154
6	116723101	116869093	4.55456e-14	116841555	138	138	12	8.69565217391304	0.36911719470932	0.938	0.038
6	120764120	120849693	3.07879e-10	120793723	129	129	0	0	0	1.001	0.001
6	121516534	121542732	3.2141e-13	121528830	202	202	0	0	0	1.001	0.001
